38,1.2694531s,6.427173584s,81.495038ms,6.600981258s,93.713401ms,817.431446ms,36.821278ms,232.100253ms,5.246966279s
39,1.335499887s,17.29509403s,89.742608ms,17.883658648s,102.306673ms,3.347435339s,29.776715ms,560.814684ms,13.25456204s
40,1.319926649s,6.536447175s,89.481829ms,6.731608913s,96.253773ms,920.228575ms,30.167279ms,214.404401ms,5.275244264s
41,1.966336773s,6.632766105s,94.528447ms,6.837777429s,106.251841ms,862.055186ms,49.278654ms,203.666351ms,5.411333612s
42,2.639167839s,7.936297529s,121.544573ms,8.182270156s,118.999854ms,1.190527306s,35.111382ms,302.383798ms,6.289071852s
43,2.080856441s,19.260835396s,133.407706ms,19.829963301s,106.352443ms,3.825420187s,30.218539ms,682.398435ms,14.616284099s
44,1.410575266s,6.320574537s,106.108841ms,6.529822425s,98.981044ms,833.113697ms,34.457923ms,236.628651ms,5.117225603s
45,1.524692549s,17.270343007s,78.96393ms,17.740080221s,96.956213ms,3.407421212s,43.262283ms,547.443603ms,13.175099238s
46,1.378459599s,18.964600176s,88.549882ms,19.54165817s,102.790338ms,3.898333348s,40.049457ms,662.448909ms,14.260803603s
47,1.405630639s,7.211891774s,87.604099ms,7.413885269s,96.497398ms,907.123885ms,28.016981ms,205.024752ms,5.975079921s
48,1.396267707s,7.471491461s,89.486568ms,7.667266142s,125.971ms,1.154126674s,26.397704ms,270.591106ms,5.894259487s
49,1.512392287s,7.94692004s,95.290637ms,8.150554059s,79.01453ms,1.263369421s,28.464619ms,311.94392ms,6.263972407s
50,1.921615171s,5.846903743s,138.874041ms,6.064056625s,76.239593ms,624.187964ms,22.31694ms,156.242032ms,4.967751444s
51,1.579585196s,20.03931583s,132.420076ms,20.680241829s,86.098833ms,4.219621386s,25.722698ms,628.176301ms,15.07943355s
52,1.792490766s,6.339117037s,117.896473ms,6.553275189s,82.266401ms,865.592862ms,43.216814ms,203.79994ms,5.144091982s
53,1.413402875s,7.750061611s,102.512578ms,7.961517215s,75.422256ms,984.031425ms,25.01174ms,197.341698ms,6.46810588s
54,2.544068349s,6.97621663s,108.882452ms,7.201999527s,99.366699ms,987.774543ms,26.143702ms,222.156626ms,5.640630349s
